# run:lumi:event | A: std(pt,eta,phi) out(pt,eta,phi) | B: std(pt,eta,phi) out(pt,eta,phi) | cosA dt ndof_ok pair_cosmic cand_dup
1:10698:68175658 | A std(81.90,+0.9088,+2.5079) out(108.70,+0.9135,+2.5232) | B std(81.90,+0.9088,+2.5079) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10558:67284539 | A std(63.97,-0.2009,-1.0197) out(93.69,-0.2050,-0.9995) | B std(63.97,-0.2009,-1.0197) out(0.00,+0.0000,+0.0000) | cosA=+0.99980 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10746:68479879 | A std(52.67,-0.4073,-1.2220) out(33.67,-0.3997,-1.2659) | B std(52.67,-0.4073,-1.2220) out(0.00,+0.0000,+0.0000) | cosA=+0.99915 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10805:68858010 | A std(85.16,+0.7660,-2.1767) out(107.55,+0.7704,-2.1683) | B std(85.16,+0.7660,-2.1767) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11097:70716491 | A std(121.06,+0.2780,-1.6013) out(114.89,+0.2768,-1.5995) | B std(121.06,+0.2780,-1.6013) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11246:71669606 | A std(55.56,-0.5573,-2.3116) out(41.11,-0.5605,-2.3301) | B std(55.56,-0.5573,-2.3116) out(0.00,+0.0000,+0.0000) | cosA=+0.99987 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11271:71824040 | A std(74.81,+0.7173,-1.7184) out(98.46,+0.7237,-1.7255) | B std(74.81,+0.7173,-1.7184) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:10980:69972914 | A std(67.42,+0.4496,-2.0444) out(51.14,+0.4505,-2.0232) | B std(67.42,+0.4496,-2.0444) out(0.00,+0.0000,+0.0000) | cosA=+0.99981 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1702:10840818 | A std(73.25,+0.3943,-2.4626) out(57.15,+0.3935,-2.4748) | B std(73.25,+0.3943,-2.4626) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11516:73387495 | A std(38.78,-1.5842,-2.2969) out(45.86,-1.5748,-2.3007) | B std(38.78,-1.5842,-2.2969) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11742:74829131 | A std(117.72,-0.5940,+0.5054) out(100.75,-0.5920,+0.4985) | B std(117.72,-0.5940,+0.5054) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11766:74982684 | A std(89.08,-0.8306,+1.5273) out(67.10,-0.8201,+1.5406) | B std(89.08,-0.8306,+1.5273) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11532:73493397 | A std(51.94,+0.7980,-1.8064) out(51.44,+0.7954,-1.8051) | B std(51.94,+0.7980,-1.8064) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11951:76160190 | A std(65.13,+1.0779,-1.3463) out(24.23,+1.0864,-1.2813) | B std(65.13,+1.0779,-1.3463) out(0.00,+0.0000,+0.0000) | cosA=+0.99921 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:12116:77215261 | A std(182.34,+0.8911,+1.8743) out(53.99,+0.8851,+1.9120) | B std(182.34,+0.8911,+1.8743) out(0.00,+0.0000,+0.0000) | cosA=+0.99964 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:11942:76103262 | A std(60.55,-0.8148,-1.5305) out(35.70,-0.8164,-1.5666) | B std(60.55,-0.8148,-1.5305) out(0.00,+0.0000,+0.0000) | cosA=+0.99964 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:12097:77090329 | A std(43.34,-0.8877,-2.2581) out(32.09,-0.8798,-2.2289) | B std(43.34,-0.8877,-2.2581) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1778:11328690 | A std(45.69,+0.8789,-1.4804) out(59.11,+0.8928,-1.4906) | B std(45.69,+0.8789,-1.4804) out(0.00,+0.0000,+0.0000) | cosA=+0.99993 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1813:11550382 | A std(56.54,-0.7151,+1.6100) out(65.57,-0.7114,+1.6115) | B std(56.54,-0.7151,+1.6100) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:959:6105930 | A std(60.50,+0.3924,-1.5598) out(62.21,+0.3955,-1.5587) | B std(60.50,+0.3924,-1.5598) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1904:12132538 | A std(89.56,-0.7559,-2.9020) out(63.70,-0.7470,-2.9230) | B std(89.56,-0.7559,-2.9020) out(0.00,+0.0000,+0.0000) | cosA=+0.99985 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1984:12642024 | A std(38.04,+0.7906,-1.6156) out(30.60,+0.7960,-1.6297) | B std(38.04,+0.7906,-1.6156) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1733:11040465 | A std(91.59,+0.4282,-1.6843) out(61.28,+0.4330,-1.6645) | B std(91.59,+0.4282,-1.6843) out(0.00,+0.0000,+0.0000) | cosA=+0.99983 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1750:11151667 | A std(101.36,-0.3347,-2.4645) out(111.29,-0.3336,-2.4582) | B std(101.36,-0.3347,-2.4645) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1738:11073981 | A std(173.17,-0.3408,-1.7625) out(272.44,-0.3355,-1.7543) | B std(173.17,-0.3408,-1.7625) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1759:11206057 | A std(50.84,-0.1892,-1.8754) out(50.42,-0.1819,-1.8721) | B std(50.84,-0.1892,-1.8754) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1792:11419793 | A std(143.19,+0.7335,-0.3980) out(52.25,+0.7396,-0.3583) | B std(143.19,+0.7335,-0.3980) out(0.00,+0.0000,+0.0000) | cosA=+0.99951 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1823:11614659 | A std(97.62,+0.7440,-1.0567) out(28.19,+0.7443,-0.9689) | B std(97.62,+0.7440,-1.0567) out(0.00,+0.0000,+0.0000) | cosA=+0.99768 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1658:10564923 | A std(109.00,-0.8451,-1.5803) out(100.91,-0.8530,-1.5770) | B std(109.00,-0.8451,-1.5803) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1976:12591827 | A std(51.02,-0.8571,-1.5996) out(48.86,-0.8628,-1.5991) | B std(51.02,-0.8571,-1.5996) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1797:11450869 | A std(34.77,-0.5155,-1.0267) out(34.35,+0.5096,+2.1091) | B std(34.77,+0.5155,+2.1149) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:1844:11748286 | A std(107.84,+0.8893,-1.9013) out(245.00,+0.8848,-1.9172) | B std(107.84,+0.8893,-1.9013) out(0.00,+0.0000,+0.0000) | cosA=+0.99993 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1130:7197983 | A std(120.62,-0.7046,-0.8676) out(285.30,-0.7051,-0.8598) | B std(120.62,-0.7046,-0.8676) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:76:479586 | A std(57.51,+0.2706,-1.5895) out(71.69,+0.2727,-1.6005) | B std(57.51,+0.2706,-1.5895) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2184:13915065 | A std(54.50,-0.4282,-1.5671) out(47.14,-0.4266,-1.5580) | B std(54.50,-0.4282,-1.5671) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2159:13758251 | A std(50.20,-0.7351,-2.3562) out(41.50,-0.7292,-2.3739) | B std(50.20,-0.7351,-2.3562) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2177:13870889 | A std(46.33,-0.2045,-1.7608) out(56.95,-0.2142,-1.7426) | B std(46.33,-0.2045,-1.7608) out(0.00,+0.0000,+0.0000) | cosA=+0.99980 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2258:14388504 | A std(59.07,-0.4706,-2.3861) out(67.92,-0.4635,-2.3906) | B std(59.07,-0.4706,-2.3861) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:117:740544 | A std(78.01,-0.3053,+1.5886) out(77.88,-0.3043,+1.5903) | B std(78.01,-0.3053,+1.5886) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:128:815134 | A std(169.69,+0.7942,-1.8730) out(143.23,+0.7915,-1.8694) | B std(169.69,+0.7942,-1.8730) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1214:7734732 | A std(44.27,+1.1245,+2.0395) out(45.05,+1.1200,+2.0402) | B std(44.27,+1.1245,+2.0395) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2133:13589293 | A std(48.50,-0.7676,+1.5657) out(84.08,-0.7726,+1.5327) | B std(48.50,-0.7676,+1.5657) out(0.00,+0.0000,+0.0000) | cosA=+0.99968 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2133:13592954 | A std(91.41,+0.2210,-1.8450) out(64.87,+0.2146,-1.8293) | B std(91.41,+0.2210,-1.8450) out(0.00,+0.0000,+0.0000) | cosA=+0.99986 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:168:1069585 | A std(88.02,-1.0073,-1.5522) out(70.34,-1.0131,-1.5614) | B std(88.02,-1.0073,-1.5522) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2356:15011705 | A std(130.26,+0.4313,-1.6342) out(746.10,+0.4331,-1.6664) | B std(130.26,+0.4313,-1.6342) out(0.00,+0.0000,+0.0000) | cosA=+0.99956 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2086:13289719 | A std(173.51,-0.3920,-0.2953) out(223.27,-0.3916,-0.2905) | B std(173.51,-0.3920,-0.2953) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2404:15320088 | A std(37.42,+1.1311,-1.9687) out(44.76,+1.1240,-1.9775) | B std(37.42,+1.1311,-1.9687) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2033:12954068 | A std(112.45,-0.8121,-1.6598) out(190.69,-0.8059,-1.6474) | B std(112.45,-0.8121,-1.6598) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2158:13746753 | A std(45.02,+0.5104,-1.5993) out(37.25,+0.5134,-1.5822) | B std(45.02,+0.5104,-1.5993) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2251:14344936 | A std(93.77,-0.7798,-0.7439) out(66.46,-0.7833,-0.7592) | B std(93.77,-0.7798,-0.7439) out(0.00,+0.0000,+0.0000) | cosA=+0.99993 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2420:15422375 | A std(59.52,+0.3862,-1.7974) out(69.54,+0.3818,-1.7903) | B std(59.52,+0.3862,-1.7974) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1062:6765007 | A std(892.03,+0.5325,+2.1712) out(557.48,+0.5264,+2.1702) | B std(883.17,+0.5322,+2.1726) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:2506:15968482 | A std(109.34,-0.1086,-1.7781) out(94.97,-0.1067,-1.7729) | B std(109.34,-0.1086,-1.7781) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2719:17323035 | A std(47.56,+0.3205,-0.9084) out(44.44,+0.3221,-0.9154) | B std(47.56,+0.3205,-0.9084) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2757:17565850 | A std(97.50,+0.8392,-0.6435) out(40.88,+0.8302,-0.6870) | B std(97.50,+0.8392,-0.6435) out(0.00,+0.0000,+0.0000) | cosA=+0.99947 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2706:17244241 | A std(37.10,-1.1377,-1.6450) out(66.35,-1.1389,-1.6701) | B std(37.10,-1.1377,-1.6450) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2574:16402659 | A std(89.72,-0.3824,-1.7671) out(91.03,-0.3823,-1.7687) | B std(89.72,-0.3824,-1.7671) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2666:16985374 | A std(52.03,-0.2520,-1.2278) out(39.95,-0.2564,-1.2060) | B std(52.03,-0.2520,-1.2278) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2829:18028092 | A std(75.11,+0.7437,-1.6257) out(68.15,+0.7474,-1.6197) | B std(75.11,+0.7437,-1.6257) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:336:2141227 | A std(50.66,+0.2744,-0.6277) out(28.07,+0.2850,-0.6746) | B std(50.66,+0.2744,-0.6277) out(0.00,+0.0000,+0.0000) | cosA=+0.99893 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2734:17418310 | A std(75.19,+0.9028,-1.9062) out(64.30,+0.9042,-1.9010) | B std(75.19,+0.9028,-1.9062) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2800:17841074 | A std(161.72,-0.7205,-1.7858) out(178.97,-0.7189,-1.7849) | B std(161.72,-0.7205,-1.7858) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1113:7089733 | A std(81.01,+0.2422,-1.5546) out(64.14,+0.2382,-1.5650) | B std(81.01,+0.2422,-1.5546) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1113:7092971 | A std(44.39,+0.2635,-0.3298) out(29.42,+0.2591,-0.2836) | B std(44.39,+0.2635,-0.3298) out(0.00,+0.0000,+0.0000) | cosA=+0.99900 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2758:17573270 | A std(77.08,-1.0093,+1.2439) out(94.47,-1.0112,+1.2341) | B std(77.08,-1.0093,+1.2439) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2783:17732608 | A std(126.15,+0.3775,-0.8527) out(93.04,+0.3736,-0.8654) | B std(126.15,+0.3775,-0.8527) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2442:15557475 | A std(106.96,+0.2668,-0.7259) out(130.90,+0.2715,-0.7280) | B std(106.96,+0.2668,-0.7259) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2542:16196831 | A std(268.49,-0.4618,-1.2408) out(228.64,-0.4621,-1.2386) | B std(268.49,-0.4619,-1.2408) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2628:16745357 | A std(44.58,+0.7264,-1.3503) out(366.87,+0.7424,-1.2864) | B std(44.58,+0.7264,-1.3503) out(0.00,+0.0000,+0.0000) | cosA=+0.99868 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2458:15663371 | A std(46.50,-0.7367,-1.5650) out(35.05,-0.7405,-1.5424) | B std(46.50,-0.7367,-1.5650) out(0.00,+0.0000,+0.0000) | cosA=+0.99984 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2451:15619274 | A std(139.34,-0.8579,+2.3308) out(202.36,-0.8416,+2.3232) | B std(139.34,-0.8579,+2.3308) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2752:17532828 | A std(95.00,+0.2120,-1.5628) out(77.12,+0.2137,-1.5741) | B std(95.00,+0.2120,-1.5628) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2775:17681351 | A std(57.50,+2.1265,-2.4981) out(30.19,+2.1251,-2.5218) | B std(57.50,+2.1265,-2.4981) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:850:5411814 | A std(37.47,+0.7064,-1.2448) out(46.11,+0.7030,-1.2583) | B std(37.47,+0.7064,-1.2448) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2512:16008556 | A std(52.42,-0.1075,-2.5668) out(141.76,-0.1275,-2.6049) | B std(52.42,-0.1075,-2.5668) out(0.00,+0.0000,+0.0000) | cosA=+0.99909 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2663:16970077 | A std(32.21,-1.0164,-2.4717) out(24.48,-1.0121,-2.4494) | B std(32.21,-1.0164,-2.4717) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:101:641339 | A std(91.32,+0.3256,-2.1178) out(108.84,+0.3233,-2.1177) | B std(91.32,+0.3256,-2.1178) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2709:17260272 | A std(49.07,+0.7864,+1.5166) out(55.57,+0.7907,+1.5184) | B std(49.07,+0.7864,+1.5166) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2812:17919953 | A std(86.66,-0.2439,-0.7568) out(86.67,-0.2489,-0.7542) | B std(86.66,-0.2439,-0.7568) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2861:18231468 | A std(57.64,+0.1246,-0.3039) out(68.13,+0.1201,-0.3098) | B std(57.64,+0.1246,-0.3039) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2883:18372920 | A std(62.14,-0.4194,-1.1612) out(59.55,-0.4237,-1.1580) | B std(62.14,-0.4194,-1.1612) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2790:17777373 | A std(57.32,+0.2491,-1.3554) out(89.80,+0.2556,-1.3775) | B std(57.32,+0.2491,-1.3554) out(0.00,+0.0000,+0.0000) | cosA=+0.99975 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3025:19276335 | A std(66.60,+0.4120,-2.2925) out(48.38,+0.4325,-2.2685) | B std(66.60,+0.4120,-2.2925) out(0.00,+0.0000,+0.0000) | cosA=+0.99958 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2926:18644402 | A std(61.55,+0.4379,-1.6104) out(46.67,+0.4346,-1.5900) | B std(61.55,+0.4379,-1.6104) out(0.00,+0.0000,+0.0000) | cosA=+0.99982 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3160:20132626 | A std(93.09,-0.4609,-1.5271) out(64.38,-0.4562,-1.5158) | B std(93.09,-0.4609,-1.5271) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3073:19578476 | A std(58.59,+0.3964,-2.0497) out(48.81,+0.4016,-2.0336) | B std(58.59,+0.3964,-2.0497) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3076:19598375 | A std(208.12,-0.7010,-1.5372) out(12.35,-0.7156,-1.8393) | B std(208.12,-0.7009,-1.5375) out(0.00,+0.0000,+0.0000) | cosA=+0.97153 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3101:19762649 | A std(55.79,+0.9786,+1.8245) out(115.50,+0.9854,+1.8561) | B std(55.79,+0.9786,+1.8245) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3109:19810888 | A std(60.54,+0.2456,-2.3036) out(53.32,+0.2451,-2.2949) | B std(60.54,+0.2456,-2.3036) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2917:18585233 | A std(109.61,+0.7079,-1.9200) out(228.13,+0.7061,-1.9064) | B std(109.61,+0.7079,-1.9200) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3116:19854143 | A std(30.08,-1.0420,-0.4748) out(23.93,-1.0413,-0.4651) | B std(30.08,-1.0420,-0.4748) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2852:18175773 | A std(173.10,+0.6011,+1.4579) out(118.74,+0.6062,+1.4667) | B std(173.10,+0.6011,+1.4579) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2886:18388394 | A std(33.56,-0.8596,-0.3300) out(34.86,-0.8558,-0.3225) | B std(33.56,-0.8596,-0.3300) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2894:18440150 | A std(154.01,-0.0744,+1.5809) out(144.97,-0.0895,+1.5796) | B std(154.01,-0.0744,+1.5809) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3012:19194358 | A std(78.00,-1.0210,-1.5776) out(38.22,-1.0227,-1.6073) | B std(78.00,-1.0210,-1.5776) out(0.00,+0.0000,+0.0000) | cosA=+0.99982 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3032:19316913 | A std(90.95,+0.8762,-1.4260) out(52.75,+0.8787,-1.4134) | B std(90.95,+0.8762,-1.4260) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3217:20500788 | A std(723.62,-0.9465,-1.8480) out(302.72,-0.9476,-1.8509) | B std(656.59,-0.9464,-1.8453) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:2899:18473784 | A std(118.19,+0.4409,-2.7234) out(11460.92,+0.4410,-2.7538) | B std(118.19,+0.4409,-2.7234) out(0.00,+0.0000,+0.0000) | cosA=+0.99962 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2971:18928637 | A std(82.02,+0.3132,-1.5495) out(72.92,+0.3100,-1.5400) | B std(82.02,+0.3132,-1.5495) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2924:18630012 | A std(160.01,-0.1293,-1.8886) out(137.53,-0.1374,-1.8944) | B std(160.01,-0.1293,-1.8886) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:2931:18678166 | A std(427.86,-0.8037,-1.1825) out(112.13,-0.7969,-1.1631) | B std(362.48,-0.8048,-1.1862) out(0.00,+0.0000,+0.0000) | cosA=+0.99983 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:2953:18813499 | A std(39.51,+0.7234,+1.5477) out(58.21,+0.7195,+1.5710) | B std(39.51,+0.7234,+1.5477) out(0.00,+0.0000,+0.0000) | cosA=+0.99983 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3108:19801486 | A std(224.89,+0.3223,-2.2428) out(134.82,+0.3236,-2.2352) | B std(224.89,+0.3223,-2.2428) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:234:1489907 | A std(44.01,-0.8754,+1.5923) out(46.53,-0.8768,+1.5997) | B std(44.01,-0.8754,+1.5923) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3248:20697607 | A std(44.66,+0.3904,-1.6563) out(33.10,+0.3860,-1.6312) | B std(44.66,+0.3904,-1.6563) out(0.00,+0.0000,+0.0000) | cosA=+0.99972 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3013:19197344 | A std(93.01,+0.2570,-1.5849) out(140.00,+0.2544,-1.6488) | B std(93.01,+0.2570,-1.5849) out(0.00,+0.0000,+0.0000) | cosA=+0.99808 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3279:20895661 | A std(102.00,+0.7932,-1.5798) out(348.95,+0.7954,-1.5378) | B std(102.00,+0.7932,-1.5798) out(0.00,+0.0000,+0.0000) | cosA=+0.99950 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
