# run:lumi:event  inner_cosA  outer_cosA  zero  dt(outer up-lo)  ndof_ok  lead_out(pt,eta,phi)  sub_out(pt,eta,phi)
1:9455:60256055  inner=+1.00000  outer=-0.96429  zero=0  dt=-73.592  ndof_ok=1  lead(91.45,+1.3390,-2.1453)  sub(4.62,-1.1914,+0.5014)
1:9346:59559408  inner=+1.00000  outer=-0.99997  zero=0  dt=-37.655  ndof_ok=1  lead(308.79,+0.4065,-2.6720)  sub(251.32,-0.4130,+0.4644)
1:9555:60892734  inner=+1.00000  outer=-0.92601  zero=0  dt=-42.527  ndof_ok=0  lead(423.65,-0.8715,-2.0265)  sub(173.69,+0.4018,+1.1041)
1:9358:59636986  inner=+1.00000  outer=-0.99985  zero=0  dt=-51.594  ndof_ok=1  lead(337.11,-0.7210,+1.8024)  sub(260.61,+0.6996,-1.3341)
1:9511:60612645  inner=+0.99999  outer=-1.00000  zero=0  dt=-55.590  ndof_ok=1  lead(1067.04,+0.7363,+0.6048)  sub(342.63,-0.7389,-2.5377)
1:1479:9423813  inner=+1.00000  outer=-0.99977  zero=0  dt=-35.748  ndof_ok=1  lead(78.82,-0.8268,-1.2080)  sub(355.72,+0.8197,+1.9620)
1:9910:63153098  inner=+1.00000  outer=-0.99507  zero=0  dt=-65.032  ndof_ok=1  lead(224.11,+1.1475,+1.7460)  sub(21.61,-1.1036,-1.2320)
1:9785:62357534  inner=+1.00000  outer=-0.99993  zero=0  dt=-59.392  ndof_ok=1  lead(185.21,+1.0078,+2.0699)  sub(750.02,-1.0248,-1.0773)
1:9797:62429996  inner=+1.00000  outer=-0.99520  zero=0  dt=-61.867  ndof_ok=1  lead(173.07,-0.8377,-1.2007)  sub(25.11,+0.8621,+2.0744)
1:9983:63618217  inner=+1.00000  outer=-0.99281  zero=0  dt=-58.039  ndof_ok=1  lead(1101.40,+0.7499,-1.4707)  sub(245.73,-0.6029,+1.6495)
1:9954:63434744  inner=+0.99999  outer=-0.99836  zero=0  dt=-52.700  ndof_ok=1  lead(94.53,+0.5034,+1.9347)  sub(190.50,-0.4531,-1.2464)
1:9769:62257287  inner=+1.00000  outer=-0.99993  zero=0  dt=-60.991  ndof_ok=1  lead(321.59,+1.1351,+0.8934)  sub(1320.82,-1.1199,-2.2621)
1:9863:62856549  inner=+1.00000  outer=-0.99998  zero=0  dt=-56.832  ndof_ok=1  lead(220.39,+0.9606,+1.6310)  sub(639.55,-0.9512,-1.5128)
1:1611:10264383  inner=+1.00000  outer=-0.99807  zero=0  dt=-49.707  ndof_ok=0  lead(27.42,+0.9477,-1.7942)  sub(142.97,-0.9271,+1.2581)
1:9861:62842015  inner=+1.00000  outer=-1000.00000  zero=1  dt=-62.693  ndof_ok=0  lead(454.68,-1.1866,+0.3667)  sub(0.00,+0.0000,+0.0000)
1:1695:10798729  inner=+1.00000  outer=-0.99995  zero=0  dt=-36.476  ndof_ok=1  lead(2133.03,+0.7298,-1.2090)  sub(105.48,-0.7412,+1.9391)
1:10018:63839771  inner=+1.00000  outer=-0.99987  zero=0  dt=-46.249  ndof_ok=1  lead(122.04,-0.2314,+2.4767)  sub(309.41,+0.2200,-0.6525)
1:9796:62427337  inner=+1.00000  outer=-1.00000  zero=0  dt=-49.288  ndof_ok=1  lead(228.58,+0.4393,+2.4141)  sub(199.36,-0.4362,-0.7292)
1:10182:64886936  inner=+1.00000  outer=-0.99917  zero=0  dt=-51.908  ndof_ok=1  lead(424.51,+0.7874,-1.7879)  sub(99.35,-0.7835,+1.4074)
1:10240:65258194  inner=+1.00000  outer=-0.99982  zero=0  dt=-41.705  ndof_ok=1  lead(73.07,-0.7347,-1.3195)  sub(625.64,+0.7355,+1.8464)
1:10277:65489599  inner=+1.00000  outer=-1.00000  zero=0  dt=-43.144  ndof_ok=1  lead(1589.25,+0.7824,-1.0756)  sub(283.39,-0.7842,+2.0682)
1:10406:66313973  inner=+0.99999  outer=-0.99992  zero=0  dt=-65.411  ndof_ok=1  lead(155.14,-1.1777,+2.4754)  sub(200.89,+1.1807,-0.6887)
1:1851:11793138  inner=+0.99999  outer=-0.99967  zero=0  dt=-53.473  ndof_ok=0  lead(112.24,-0.7519,-0.8260)  sub(7136.55,+0.7254,+2.3348)
1:10762:68584393  inner=+1.00000  outer=-0.99997  zero=0  dt=-66.180  ndof_ok=1  lead(283.59,-1.5124,+2.4719)  sub(100.43,+1.5212,-0.6872)
1:2001:12748580  inner=+1.00000  outer=-0.99997  zero=0  dt=-28.160  ndof_ok=0  lead(486.96,-0.4117,-1.2869)  sub(151.86,+0.4032,+1.8552)
