# run:lumi:event  inner_cosA  outer_cosA  zero  dt(outer up-lo)  ndof_ok  lead_out(pt,eta,phi)  sub_out(pt,eta,phi)
1:3657:23303077  inner=+0.99999  outer=-0.99103  zero=0  dt=-47.908  ndof_ok=1  lead(472.12,+0.7373,-0.5036)  sub(308.43,-0.5733,+2.6377)
1:3939:25100125  inner=+1.00000  outer=-0.99909  zero=0  dt=-69.910  ndof_ok=1  lead(55.46,+0.8377,+0.5432)  sub(256.85,-0.8285,-2.6559)
1:3853:24552240  inner=+1.00000  outer=-1.00000  zero=0  dt=-54.891  ndof_ok=1  lead(752.30,+1.1506,-0.2761)  sub(196.27,-1.1465,+2.8649)
1:3900:24849512  inner=+1.00000  outer=-1.00000  zero=0  dt=-63.982  ndof_ok=1  lead(308.44,-1.2473,+2.0913)  sub(219.47,+1.2483,-1.0466)
1:3900:24849670  inner=+1.00000  outer=-0.99939  zero=0  dt=-56.301  ndof_ok=1  lead(138.67,-0.8767,-1.3069)  sub(92.53,+0.9116,+1.7992)
1:3857:24578550  inner=+1.00000  outer=-0.99985  zero=0  dt=-63.318  ndof_ok=1  lead(139.05,-1.1015,+1.2634)  sub(276.51,+1.1262,-1.8625)
1:3953:25186585  inner=+1.00000  outer=-0.99967  zero=0  dt=-52.688  ndof_ok=1  lead(491.80,+0.7978,+0.2173)  sub(4449.27,-0.7642,-2.9186)
1:3826:24380857  inner=+1.00000  outer=-0.99944  zero=0  dt=-58.586  ndof_ok=1  lead(35.31,-0.9765,+2.0240)  sub(44.43,+1.0183,-1.0873)
1:3912:24929686  inner=+1.00000  outer=-0.99995  zero=0  dt=-53.057  ndof_ok=1  lead(1197.05,-0.8516,+1.7736)  sub(247.75,+0.8381,-1.3716)
1:3904:24876519  inner=+0.99999  outer=-0.81698  zero=0  dt=-43.384  ndof_ok=1  lead(298.71,-0.3729,-0.8703)  sub(10.07,+1.0613,+1.8935)
1:3904:24879390  inner=+1.00000  outer=-0.99999  zero=0  dt=-53.048  ndof_ok=1  lead(1219.14,+0.8977,+1.9054)  sub(162.24,-0.8918,-1.2378)
1:4112:26203740  inner=+1.00000  outer=-0.99874  zero=0  dt=-46.936  ndof_ok=0  lead(476.86,+0.7197,-2.4921)  sub(176.13,-0.7836,+0.6615)
1:4152:26457749  inner=+1.00000  outer=-0.99936  zero=0  dt=-61.802  ndof_ok=1  lead(255.52,+1.0173,+1.7729)  sub(50.18,-1.0058,-1.3141)
1:4095:26096233  inner=+1.00000  outer=-1000.00000  zero=1  dt=-47.660  ndof_ok=1  lead(37.24,-0.7341,-1.3401)  sub(0.00,+0.0000,+0.0000)
1:4187:26681879  inner=+1.00000  outer=-0.99663  zero=0  dt=-35.599  ndof_ok=0  lead(51.75,-0.9948,-1.2634)  sub(1555.52,+1.1243,+1.8494)
1:4378:27896816  inner=+0.99999  outer=-0.99987  zero=0  dt=-52.603  ndof_ok=1  lead(130.16,-0.9132,+0.8709)  sub(221.05,+0.9106,-2.2935)
1:4433:28250436  inner=+1.00000  outer=-0.96557  zero=0  dt=-54.824  ndof_ok=1  lead(98.84,+1.1349,-0.9044)  sub(6.85,-1.0369,+1.8121)
1:4091:26066477  inner=+1.00000  outer=-0.99950  zero=0  dt=-28.603  ndof_ok=0  lead(91.20,-0.8599,-1.3185)  sub(285.67,+0.8474,+1.8649)
1:555:3534232  inner=+1.00000  outer=-0.99999  zero=0  dt=-52.134  ndof_ok=1  lead(980.06,+0.8565,+2.0904)  sub(182.67,-0.8605,-1.0560)
1:4081:26005169  inner=+1.00000  outer=-0.99999  zero=0  dt=-67.385  ndof_ok=1  lead(279.15,+1.3771,-2.5731)  sub(1082.28,-1.3801,+0.5776)
1:633:4031333  inner=+1.00000  outer=-0.99815  zero=0  dt=-64.898  ndof_ok=1  lead(44.35,+1.1233,-1.3299)  sub(19.17,-1.1158,+1.7088)
1:4239:27014512  inner=+1.00000  outer=-0.99998  zero=0  dt=-65.527  ndof_ok=1  lead(196.08,-1.2130,+1.9047)  sub(1996.64,+1.2062,-1.2474)
1:4284:27299234  inner=+1.00000  outer=-0.99517  zero=0  dt=-36.467  ndof_ok=0  lead(257.27,+0.7140,-2.7694)  sub(838.85,-0.8434,+0.3653)
1:4344:27681208  inner=+1.00000  outer=-0.99484  zero=0  dt=-31.593  ndof_ok=1  lead(110.82,+0.8256,-1.1440)  sub(204.33,-0.6947,+2.0172)
1:815:5191939  inner=+1.00000  outer=-0.99919  zero=0  dt=-67.994  ndof_ok=1  lead(82.37,+0.7987,+2.1645)  sub(112.18,-0.8168,-0.9260)
1:1006:6406529  inner=+1.00000  outer=-1.00000  zero=0  dt=-33.364  ndof_ok=1  lead(1189.07,+0.1790,-0.2565)  sub(207.28,-0.1775,+2.8832)
1:4289:27329286  inner=+1.00000  outer=-0.99700  zero=0  dt=-29.675  ndof_ok=1  lead(130.78,+0.8659,-2.8198)  sub(283.49,-0.9784,+0.3123)
1:724:4608692  inner=+0.99999  outer=-0.99995  zero=0  dt=-27.307  ndof_ok=1  lead(150.93,-0.1820,-0.4722)  sub(1058.28,+0.1818,+2.6798)
1:4513:28760186  inner=+1.00000  outer=-0.99986  zero=0  dt=-65.975  ndof_ok=1  lead(76.82,+1.0171,+1.3545)  sub(236.08,-1.0114,-1.8126)
1:4510:28736050  inner=+1.00000  outer=-0.88651  zero=0  dt=-11.804  ndof_ok=0  lead(51.03,+1.0674,-2.2088)  sub(12.13,-1.1028,+0.1264)
1:4694:29910646  inner=+1.00000  outer=-0.99999  zero=0  dt=-51.310  ndof_ok=1  lead(384.87,-0.7074,-1.0890)  sub(252.58,+0.7071,+2.0593)
1:1168:7439841  inner=+1.00000  outer=-1.00000  zero=0  dt=-57.334  ndof_ok=1  lead(419.94,-0.9366,+0.5589)  sub(2345.31,+0.9364,-2.5837)
1:4796:30563122  inner=+1.00000  outer=-0.99920  zero=0  dt=-48.060  ndof_ok=1  lead(791.44,-0.7201,+0.2764)  sub(187.18,+0.7172,-2.9160)
1:4867:31017375  inner=+1.00000  outer=-0.99999  zero=0  dt=-50.641  ndof_ok=1  lead(324.30,+0.1225,+2.4043)  sub(432.08,-0.1214,-0.7335)
1:4590:29250231  inner=+1.00000  outer=-0.99954  zero=0  dt=-39.238  ndof_ok=0  lead(340.01,-0.7299,-1.5290)  sub(728.80,+0.7225,+1.6507)
1:830:5288328  inner=+0.99999  outer=-0.99999  zero=0  dt=-59.081  ndof_ok=1  lead(937.55,+0.9428,+0.8016)  sub(97.73,-0.9402,-2.3474)
1:4811:30654290  inner=+1.00000  outer=-0.99999  zero=0  dt=-51.897  ndof_ok=1  lead(151.22,+1.0017,+1.6776)  sub(1161.55,-1.0013,-1.4721)
1:4708:30003218  inner=+1.00000  outer=-0.99999  zero=0  dt=-63.180  ndof_ok=1  lead(224.26,-1.1661,+2.6934)  sub(170.06,+1.1705,-0.4404)
1:321:2044163  inner=+1.00000  outer=-0.99955  zero=0  dt=-74.181  ndof_ok=1  lead(1899.89,+1.0554,+1.8915)  sub(87.62,-1.0241,-1.2857)
1:4827:30759264  inner=+0.99999  outer=-0.33578  zero=0  dt=-35.579  ndof_ok=0  lead(902.76,+1.0921,+0.5198)  sub(12.05,+0.0423,-1.7111)
1:4566:29093068  inner=+1.00000  outer=-0.99998  zero=0  dt=-26.630  ndof_ok=1  lead(256.45,+0.2602,-1.7690)  sub(822.01,-0.2585,+1.3788)
1:4566:29096842  inner=+0.99999  outer=-0.99970  zero=0  dt=-58.913  ndof_ok=1  lead(525.70,-0.9583,+0.8385)  sub(60.48,+0.9724,-2.2690)
1:4605:29345277  inner=+0.99999  outer=-1000.00000  zero=1  dt=-34.405  ndof_ok=1  lead(77.43,+0.4461,-2.7269)  sub(0.00,+0.0000,+0.0000)
1:4778:30445656  inner=+1.00000  outer=-0.99985  zero=0  dt=-36.661  ndof_ok=1  lead(1618.79,-0.7622,-0.6347)  sub(393.66,+0.7433,+2.5188)
1:4778:30448054  inner=+1.00000  outer=-0.91905  zero=0  dt=+68.343  ndof_ok=0  lead(29.24,+0.7085,-1.7816)  sub(6.04,-0.8740,+0.8445)
1:5228:33312471  inner=+1.00000  outer=-0.99990  zero=0  dt=-55.405  ndof_ok=1  lead(684.54,+0.3685,+1.4031)  sub(318.30,-0.3824,-1.7439)
1:4893:31178696  inner=+1.00000  outer=-0.99981  zero=0  dt=-40.068  ndof_ok=1  lead(1993.17,+0.4320,-0.7352)  sub(86.00,-0.4155,+2.4199)
1:4969:31661441  inner=+1.00000  outer=-0.99997  zero=0  dt=-69.055  ndof_ok=1  lead(177.91,+1.1614,+0.8057)  sub(235.21,-1.1514,-2.3448)
1:4963:31623291  inner=+1.00000  outer=-0.99956  zero=0  dt=-56.015  ndof_ok=1  lead(190.09,+0.6363,+1.4349)  sub(420.89,-0.6356,-1.6707)
1:5000:31862009  inner=+0.99999  outer=-0.99963  zero=0  dt=-32.777  ndof_ok=1  lead(69.94,+0.0830,-1.1207)  sub(565.99,-0.0800,+1.9938)
1:5037:32094950  inner=+1.00000  outer=-0.96390  zero=0  dt=-44.872  ndof_ok=1  lead(290.74,+0.3945,+0.9180)  sub(13.11,-0.2867,-1.9593)
1:5045:32149496  inner=+0.99999  outer=-0.99973  zero=0  dt=-51.908  ndof_ok=1  lead(115.90,+0.7498,+1.8916)  sub(201.21,-0.7682,-1.2742)
1:5065:32274771  inner=+1.00000  outer=-0.99980  zero=0  dt=-72.088  ndof_ok=1  lead(83.03,+0.9022,+2.2083)  sub(200.30,-0.8955,-0.9057)
1:5159:32872305  inner=+1.00000  outer=-0.99992  zero=0  dt=-35.077  ndof_ok=1  lead(119.31,+0.7939,-2.4751)  sub(181.77,-0.7910,+0.6500)
1:5021:31996414  inner=+1.00000  outer=-1.00000  zero=0  dt=-56.996  ndof_ok=1  lead(2501.03,+1.4618,+1.1374)  sub(1894.41,-1.4620,-2.0077)
1:5032:32062711  inner=+0.99999  outer=-0.99998  zero=0  dt=-37.009  ndof_ok=1  lead(227.00,+0.2692,+2.6756)  sub(284.96,-0.2634,-0.4648)
1:5044:32139504  inner=+1.00000  outer=-0.99028  zero=0  dt=+63.087  ndof_ok=0  lead(17.20,+0.9197,+0.0329)  sub(62.10,-0.7947,+3.0260)
1:4975:31705571  inner=+1.00000  outer=-0.99494  zero=0  dt=-57.851  ndof_ok=1  lead(19.52,+0.9742,+0.6069)  sub(461.34,-0.9935,-2.6869)
1:614:3907629  inner=+0.99999  outer=-0.99971  zero=0  dt=-43.371  ndof_ok=1  lead(188.74,-0.3425,+2.2602)  sub(169.77,+0.3369,-0.8564)
1:5388:34337518  inner=+0.99999  outer=-0.98789  zero=0  dt=-27.416  ndof_ok=0  lead(125.05,-0.7304,-0.3176)  sub(37.00,+0.5691,+2.7238)
1:5497:35028939  inner=+1.00000  outer=-0.97841  zero=0  dt=-45.087  ndof_ok=0  lead(615.79,+0.7053,-1.0540)  sub(20.12,-0.5273,+2.2620)
1:5282:33658528  inner=+1.00000  outer=-0.95382  zero=0  dt=-69.692  ndof_ok=1  lead(34.04,-1.0859,+2.5466)  sub(6.25,+1.0890,-0.0876)
1:5365:34189258  inner=+1.00000  outer=-0.99999  zero=0  dt=-57.297  ndof_ok=1  lead(1739.74,+0.9396,-0.8892)  sub(453.77,-0.9349,+2.2494)
1:5348:34079338  inner=+0.99999  outer=-0.99983  zero=0  dt=-47.069  ndof_ok=1  lead(250.85,+0.1795,+0.7846)  sub(1063.92,-0.1946,-2.3685)
1:1385:8820365  inner=+1.00000  outer=-0.62586  zero=0  dt=+3.278  ndof_ok=0  lead(265.31,+0.5398,-1.2201)  sub(11.58,-0.0354,+1.1256)
1:5563:35448910  inner=+1.00000  outer=-0.99995  zero=0  dt=-35.075  ndof_ok=1  lead(595.34,+0.4227,-0.2997)  sub(671.90,-0.4275,+2.8315)
1:5533:35259739  inner=+1.00000  outer=-0.99915  zero=0  dt=-62.549  ndof_ok=1  lead(524.80,-1.1075,+0.7963)  sub(59.10,+1.0499,-2.3101)
1:5546:35341027  inner=+1.00000  outer=-0.99993  zero=0  dt=-56.476  ndof_ok=1  lead(98.52,+1.1346,-2.2858)  sub(395.64,-1.1449,+0.8388)
1:1429:9102132  inner=+1.00000  outer=-0.99979  zero=0  dt=-70.979  ndof_ok=1  lead(241.35,-1.0922,+1.7294)  sub(532.57,+1.0888,-1.3785)
1:5406:34450176  inner=+1.00000  outer=-0.99875  zero=0  dt=-27.822  ndof_ok=0  lead(41.09,-0.8830,-2.0791)  sub(744.50,+0.8932,+1.1327)
1:5585:35591604  inner=+0.99998  outer=-0.99982  zero=0  dt=-32.660  ndof_ok=1  lead(199.27,-0.2577,-2.1302)  sub(328.83,+0.2550,+1.0307)
1:5621:35819747  inner=+0.99999  outer=-0.99729  zero=0  dt=-33.163  ndof_ok=0  lead(27.82,-1.0135,-2.6928)  sub(73.63,+1.0188,+0.3338)
1:382:2430935  inner=+1.00000  outer=-0.99968  zero=0  dt=-45.242  ndof_ok=1  lead(199.74,-0.0351,+1.6698)  sub(97.61,+0.0357,-1.4465)
1:5668:36120538  inner=+1.00000  outer=-0.99934  zero=0  dt=-66.071  ndof_ok=1  lead(33.21,-1.0066,+1.1743)  sub(928.01,+1.0025,-2.0234)
1:5366:34193833  inner=+1.00000  outer=-0.99988  zero=0  dt=-39.229  ndof_ok=1  lead(137.99,-0.8099,-1.1576)  sub(387.12,+0.8281,+1.9739)
1:5393:34363678  inner=+1.00000  outer=-0.70975  zero=0  dt=-88.765  ndof_ok=0  lead(498.71,+0.7675,-1.5498)  sub(5.17,-0.2689,+2.3398)
1:5938:37842233  inner=+1.00000  outer=-0.99913  zero=0  dt=-48.887  ndof_ok=1  lead(192.67,-0.7076,+2.3720)  sub(120.37,+0.7572,-0.7896)
1:6027:38410038  inner=+1.00000  outer=-0.99934  zero=0  dt=-38.839  ndof_ok=1  lead(1910.84,-0.2830,+2.9502)  sub(53.57,+0.2928,-0.1548)
1:5959:37975753  inner=+0.99999  outer=-0.99867  zero=0  dt=-55.429  ndof_ok=1  lead(49.75,-0.7639,+0.5408)  sub(576.19,+0.7769,-2.5342)
1:5945:37883807  inner=+1.00000  outer=-0.99985  zero=0  dt=-38.728  ndof_ok=1  lead(189.03,+0.0759,-1.0624)  sub(138.03,-0.0765,+2.0619)
1:5714:36412888  inner=+0.99999  outer=-0.99990  zero=0  dt=-49.487  ndof_ok=1  lead(177.51,+0.8200,+2.4415)  sub(124.12,-0.8276,-0.7178)
1:5827:37133189  inner=+1.00000  outer=-0.89741  zero=0  dt=-30.931  ndof_ok=0  lead(935.67,-0.7867,-1.3064)  sub(5.87,+0.9003,+2.4593)
1:5910:37658626  inner=+1.00000  outer=-0.99995  zero=0  dt=-42.372  ndof_ok=1  lead(303.80,-0.1677,+1.0538)  sub(240.12,+0.1769,-2.0916)
1:5935:37819064  inner=+1.00000  outer=-0.99190  zero=0  dt=-48.072  ndof_ok=0  lead(115.15,-0.9406,-2.3144)  sub(39.20,+0.7924,+0.7281)
1:5806:37000833  inner=+1.00000  outer=-0.99998  zero=0  dt=-55.663  ndof_ok=1  lead(184.95,-1.2706,-2.6210)  sub(795.62,+1.2670,+0.5098)
1:6074:38705242  inner=+0.99995  outer=-0.99911  zero=0  dt=-38.822  ndof_ok=1  lead(77.05,+0.3009,-2.0321)  sub(111.39,-0.2952,+1.0658)
1:5864:37365748  inner=+1.00000  outer=-0.97579  zero=0  dt=-51.637  ndof_ok=0  lead(86.43,+0.9546,-1.0996)  sub(10.77,-1.0801,+1.7200)
1:1379:8783430  inner=+1.00000  outer=-0.99884  zero=0  dt=-53.475  ndof_ok=1  lead(121.58,-0.2934,-0.5894)  sub(1398.83,+0.2995,+2.5021)
1:5784:36859413  inner=+1.00000  outer=-0.99995  zero=0  dt=-66.903  ndof_ok=1  lead(293.52,+0.9709,+0.5826)  sub(174.80,-0.9783,-2.5716)
1:5719:36446181  inner=+1.00000  outer=-0.99995  zero=0  dt=-42.858  ndof_ok=1  lead(232.96,-0.7384,-0.5116)  sub(502.70,+0.7468,+2.6400)
1:744:4738292  inner=+0.99999  outer=-0.99997  zero=0  dt=-64.282  ndof_ok=1  lead(128.27,+0.9134,+2.1799)  sub(1670.91,-0.9042,-0.9555)
1:6110:38937386  inner=+1.00000  outer=-0.92799  zero=0  dt=-75.113  ndof_ok=1  lead(530.64,-1.2476,-1.9126)  sub(4.50,+0.8995,+0.7069)
1:6145:39159676  inner=+1.00000  outer=-0.99850  zero=0  dt=-53.523  ndof_ok=1  lead(209.85,-0.8950,+2.0787)  sub(6198.82,+0.9755,-1.0613)
1:6222:39647246  inner=+0.99999  outer=-0.99998  zero=0  dt=-32.012  ndof_ok=0  lead(1942.35,-0.8878,-0.6448)  sub(259.91,+0.8948,+2.4924)
1:6388:40704957  inner=+1.00000  outer=-1.00000  zero=0  dt=-38.868  ndof_ok=1  lead(167.90,-0.4972,-2.7678)  sub(298.44,+0.4991,+0.3721)
1:6309:40205966  inner=+0.99999  outer=-0.96825  zero=0  dt=-49.271  ndof_ok=0  lead(359.72,+0.9054,+0.6077)  sub(9.96,-0.9606,-2.1660)
1:6376:40631254  inner=+1.00000  outer=-0.99872  zero=0  dt=-37.175  ndof_ok=0  lead(242.85,-0.8806,-2.5102)  sub(462.25,+0.8108,+0.6327)
1:82:522554  inner=+1.00000  outer=-0.99867  zero=0  dt=-49.362  ndof_ok=0  lead(206.82,-0.4852,-0.2061)  sub(2414.88,+0.5255,+2.8935)
1:6475:41259893  inner=+1.00000  outer=-0.84219  zero=0  dt=-43.114  ndof_ok=1  lead(233.91,-0.2235,-2.1333)  sub(6.51,+0.2463,+1.5935)
1:6608:42112436  inner=+1.00000  outer=-0.97158  zero=0  dt=-33.831  ndof_ok=1  lead(1365.97,+0.0809,-2.7963)  sub(12.35,-0.0780,+0.5850)
1:6520:41545963  inner=+1.00000  outer=-1.00000  zero=0  dt=-49.288  ndof_ok=1  lead(211.32,-0.7352,+1.0635)  sub(489.24,+0.7316,-2.0768)
1:6812:43409392  inner=+1.00000  outer=-0.99988  zero=0  dt=-47.212  ndof_ok=1  lead(88.73,+1.0544,-1.6349)  sub(514.74,-1.0623,+1.5305)
1:6812:43410139  inner=+1.00000  outer=-0.99964  zero=0  dt=-54.484  ndof_ok=0  lead(100.05,+0.7841,-1.7400)  sub(177.93,-0.8119,+1.3790)
1:1397:8898720  inner=+1.00000  outer=-0.99939  zero=0  dt=-40.814  ndof_ok=1  lead(692.63,-0.8388,-0.9295)  sub(103.80,+0.8421,+2.2600)
1:1426:9084170  inner=+1.00000  outer=-1000.00000  zero=1  dt=-3.417  ndof_ok=0  lead(57.95,+0.7836,-0.9269)  sub(0.00,+0.0000,+0.0000)
1:1443:9195436  inner=+1.00000  outer=-0.99673  zero=0  dt=-54.153  ndof_ok=1  lead(36.10,-0.8493,-1.1071)  sub(136.66,+0.8420,+2.1459)
1:6699:42690825  inner=+1.00000  outer=-0.99997  zero=0  dt=-29.200  ndof_ok=1  lead(530.07,-0.4418,-1.0760)  sub(278.17,+0.4449,+2.0733)
1:6860:43715416  inner=+1.00000  outer=-0.86220  zero=0  dt=-35.047  ndof_ok=1  lead(411.00,+0.7391,-0.8239)  sub(174.31,-0.1491,+2.3171)
1:6539:41669372  inner=+1.00000  outer=-1.00000  zero=0  dt=-31.752  ndof_ok=1  lead(218.47,+0.1878,-1.5161)  sub(443.50,-0.1902,+1.6266)
1:6681:42574816  inner=+1.00000  outer=-0.99984  zero=0  dt=-50.765  ndof_ok=1  lead(253.91,+0.8941,+1.2398)  sub(178.80,-0.8692,-1.8973)
1:1455:9266413  inner=+1.00000  outer=-0.99998  zero=0  dt=-37.886  ndof_ok=1  lead(401.17,+0.3095,-2.2076)  sub(356.85,-0.3033,+0.9351)
1:1493:9513932  inner=+1.00000  outer=-0.99990  zero=0  dt=-49.237  ndof_ok=1  lead(214.73,+0.7849,+1.0773)  sub(230.86,-0.7910,-2.0465)
1:1551:9880960  inner=+1.00000  outer=-0.91252  zero=0  dt=-66.222  ndof_ok=1  lead(277.88,+1.3109,-1.6563)  sub(4.75,-0.8147,+1.0132)
1:6785:43235423  inner=+1.00000  outer=-0.99994  zero=0  dt=-23.882  ndof_ok=1  lead(1310.49,+0.5325,-2.2637)  sub(233.98,-0.5322,+0.8909)
1:6941:44234486  inner=+0.99999  outer=-0.99965  zero=0  dt=-34.837  ndof_ok=0  lead(278.99,+0.8354,-0.7208)  sub(234.96,-0.8714,+2.4283)
1:7037:44843910  inner=+1.00000  outer=-1.00000  zero=0  dt=-63.708  ndof_ok=1  lead(5983.80,-1.3112,+1.2267)  sub(213.39,+1.3129,-1.9143)
1:606:3858119  inner=+1.00000  outer=-0.99955  zero=0  dt=-39.032  ndof_ok=1  lead(1122.25,+0.7237,-2.1421)  sub(286.74,-0.7296,+0.9618)
1:636:4052135  inner=+1.00000  outer=-0.99993  zero=0  dt=-42.789  ndof_ok=1  lead(98.44,-0.8735,-2.0407)  sub(1843.99,+0.8748,+1.1172)
1:7049:44918443  inner=+1.00000  outer=-0.98480  zero=0  dt=-63.374  ndof_ok=1  lead(203.17,+0.9426,+0.9697)  sub(13.17,-0.9519,-1.9128)
1:7036:44836023  inner=+1.00000  outer=-0.99980  zero=0  dt=-52.004  ndof_ok=1  lead(219.72,+0.9304,-1.9539)  sub(350.45,-0.9024,+1.1796)
1:7090:45179786  inner=+1.00000  outer=-0.99998  zero=0  dt=-57.047  ndof_ok=1  lead(23909.57,+0.9971,-2.3172)  sub(159.02,-1.0076,+0.8268)
1:7180:45756599  inner=+1.00000  outer=-0.99999  zero=0  dt=-70.370  ndof_ok=1  lead(236.87,+1.2092,+2.2768)  sub(167.74,-1.2033,-0.8696)
1:7056:44961800  inner=+0.99999  outer=-0.99975  zero=0  dt=-57.171  ndof_ok=1  lead(613.44,+0.7307,+1.9852)  sub(106.57,-0.7345,-1.1280)
1:7083:45136555  inner=+1.00000  outer=-0.99999  zero=0  dt=-64.063  ndof_ok=1  lead(209.61,+1.3301,+1.0243)  sub(198.35,-1.3237,-2.1247)
1:7027:44780373  inner=+0.99998  outer=-0.99999  zero=0  dt=-44.450  ndof_ok=1  lead(665.86,-0.3150,+2.3406)  sub(1411.40,+0.3160,-0.8043)
1:7151:45572457  inner=+1.00000  outer=-0.99998  zero=0  dt=-56.684  ndof_ok=1  lead(233.15,+0.9493,-2.5189)  sub(138.69,-0.9481,+0.6128)
1:7265:46299061  inner=+1.00000  outer=-0.99999  zero=0  dt=-56.575  ndof_ok=1  lead(639.04,-0.8122,+1.3689)  sub(299.67,+0.8098,-1.7670)
1:7071:45062791  inner=+0.99997  outer=-0.99986  zero=0  dt=-28.982  ndof_ok=1  lead(104.14,-0.8064,-0.9127)  sub(154.04,+0.8089,+2.2069)
1:6967:44398294  inner=+0.99999  outer=-0.99549  zero=0  dt=-42.941  ndof_ok=1  lead(313.61,-0.4505,+2.1853)  sub(51.24,+0.3905,-1.0407)
1:6978:44468624  inner=+1.00000  outer=-0.99992  zero=0  dt=-48.622  ndof_ok=1  lead(150.53,+1.1041,-0.9059)  sub(132.01,-1.1084,+2.2568)
1:6958:44342361  inner=+0.99999  outer=-0.99996  zero=0  dt=-42.552  ndof_ok=1  lead(269.56,-0.4213,+1.0593)  sub(225.97,+0.4308,-2.0794)
1:7241:46145655  inner=+1.00000  outer=-0.99940  zero=0  dt=-54.332  ndof_ok=1  lead(260.10,+0.8134,+2.5132)  sub(107.37,-0.8152,-0.6750)
1:7272:46343237  inner=+1.00000  outer=-0.99986  zero=0  dt=-66.588  ndof_ok=1  lead(261.67,+1.2191,+1.2434)  sub(371.55,-1.1971,-1.8772)
1:7279:46384938  inner=+1.00000  outer=-0.93875  zero=0  dt=-59.353  ndof_ok=1  lead(1670.37,+1.4238,+0.4169)  sub(3.68,-1.3842,+2.7849)
1:7396:47132350  inner=+1.00000  outer=-0.99976  zero=0  dt=-52.063  ndof_ok=1  lead(263.39,+1.0834,+2.5589)  sub(720.89,-1.0851,-0.5468)
1:7423:47306223  inner=+0.99999  outer=-1.00000  zero=0  dt=-35.827  ndof_ok=1  lead(783.72,-0.0705,-2.1867)  sub(197.12,+0.0698,+0.9541)
1:7520:47923921  inner=+1.00000  outer=-1.00000  zero=0  dt=-40.389  ndof_ok=1  lead(525.12,-0.2241,-1.5292)  sub(284.45,+0.2254,+1.6147)
1:505:3216327  inner=+1.00000  outer=-0.99971  zero=0  dt=-49.385  ndof_ok=1  lead(760.53,-1.0365,-0.5759)  sub(95.37,+1.0429,+2.6032)
1:1152:7341338  inner=+1.00000  outer=-0.99718  zero=0  dt=-51.489  ndof_ok=1  lead(43.85,+0.7873,-1.3296)  sub(327.93,-0.8650,+1.7455)
1:1176:7493966  inner=+1.00000  outer=-0.91343  zero=0  dt=-43.735  ndof_ok=1  lead(49.20,+0.4233,-1.7422)  sub(353.62,-0.9378,+1.4865)
1:571:3636114  inner=+1.00000  outer=-1.00000  zero=0  dt=-55.900  ndof_ok=1  lead(309.73,+1.1074,-1.5495)  sub(270.12,-1.1080,+1.5894)
1:7351:46844080  inner=+0.99999  outer=-0.99983  zero=0  dt=-49.282  ndof_ok=1  lead(197.52,-0.7726,-1.0566)  sub(61.71,+0.7884,+2.0666)
1:7627:48602725  inner=+1.00000  outer=-0.99905  zero=0  dt=-51.348  ndof_ok=1  lead(400.95,-0.8797,+1.2075)  sub(122.22,+0.8748,-1.9954)
1:7641:48694778  inner=+1.00000  outer=-0.99949  zero=0  dt=-41.174  ndof_ok=1  lead(50.86,-0.8392,-2.7305)  sub(327.78,+0.8441,+0.4547)
1:733:4668932  inner=+1.00000  outer=-0.99999  zero=0  dt=-51.412  ndof_ok=1  lead(1224.18,+0.7272,-1.7273)  sub(11461.42,-0.7287,+1.4074)
1:7592:48380349  inner=+1.00000  outer=-0.99998  zero=0  dt=-58.951  ndof_ok=1  lead(929.67,+0.9507,+1.1779)  sub(2422.34,-0.9524,-1.9557)
1:7595:48401465  inner=+1.00000  outer=-0.99773  zero=0  dt=-34.746  ndof_ok=1  lead(33.51,+0.8468,-1.8524)  sub(166.17,-0.8441,+1.3821)
1:7489:47724706  inner=+1.00000  outer=-0.95655  zero=0  dt=-42.542  ndof_ok=1  lead(252.34,+0.3448,-0.8626)  sub(203.49,-0.6812,+2.2863)
1:7496:47771003  inner=+1.00000  outer=-0.99999  zero=0  dt=-38.389  ndof_ok=1  lead(260.05,-0.1048,+1.5387)  sub(163.12,+0.1041,-1.6076)
1:7341:46784040  inner=+0.99999  outer=-0.99997  zero=0  dt=-50.766  ndof_ok=1  lead(299.28,-0.2281,+1.9646)  sub(269.01,+0.2342,-1.1720)
1:7383:47051631  inner=+1.00000  outer=-0.99767  zero=0  dt=-47.724  ndof_ok=1  lead(48.05,-0.8211,+2.1807)  sub(1917.60,+0.7447,-0.9128)
1:8066:51404348  inner=+1.00000  outer=-0.99999  zero=0  dt=-56.633  ndof_ok=1  lead(878.60,-0.7037,+0.4863)  sub(121.55,+0.7034,-2.6492)
1:7722:49205978  inner=+0.99999  outer=-0.99808  zero=0  dt=-50.984  ndof_ok=1  lead(964.95,-0.7627,+0.4362)  sub(56.85,+0.7610,-2.7863)
1:7723:49212645  inner=+1.00000  outer=-0.91228  zero=0  dt=-50.911  ndof_ok=1  lead(1116.51,-1.0546,-0.6511)  sub(5.50,+1.0206,-3.1153)
1:8050:51299301  inner=+1.00000  outer=-0.99997  zero=0  dt=-60.067  ndof_ok=1  lead(267.79,+1.1009,+1.0351)  sub(350.25,-1.0994,-2.0943)
1:7890:50279851  inner=+1.00000  outer=-0.19698  zero=0  dt=+4.243  ndof_ok=0  lead(329.42,+0.8814,-2.3222)  sub(10.12,+0.0362,-0.4310)
